symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_last_accumulated_quantity,order_trade_time,usd_size
DOGE,SELL,LIMIT,IOC,1520,0.222800,0.224230,FILLED,238,1520,1756103593261,338.656
RVN,SELL,LIMIT,IOC,487,0.01333,0.01345,FILLED,487,487,1756103593494,6.49171
ALGO,SELL,LIMIT,IOC,271.1,0.2596,0.2621,FILLED,271.1,271.1,1756103594081,70.37756
AI16Z,SELL,LIMIT,IOC,4350.4,0.1177000,0.1194000,FILLED,2105.6,4350.4,1756103594128,512.0420799999999
NEAR,SELL,LIMIT,IOC,89,2.5490,2.5740,FILLED,89,89,1756103594379,226.861
FIL,SELL,LIMIT,IOC,95.6,2.318,2.331,FILLED,95.6,95.6,1756103594379,221.6008
SNX,SELL,LIMIT,IOC,23.8,0.670,0.676,FILLED,23.8,23.8,1756103594651,15.946000000000002
MILK,SELL,LIMIT,IOC,17042,0.0401800,0.0406825,FILLED,812,17042,1756103595067,684.74756
FIS,SELL,LIMIT,IOC,2001,0.1128100,0.1150534,FILLED,180,2001,1756103595067,225.73281
AGT,SELL,LIMIT,IOC,2472,0.0048470,0.0049180,FILLED,1453,2472,1756103595239,11.981784
DOGE,SELL,LIMIT,IOC,21469,0.222780,0.224230,FILLED,21469,21469,1756103595239,4782.8638200000005
MBOX,SELL,LIMIT,IOC,95,0.0603700,0.0612600,FILLED,95,95,1756103595297,5.73515
BTC,SELL,LIMIT,IOC,0.047,111684.10,112132.10,FILLED,0.047,0.047,1756103595442,5249.152700000001
LPT,SELL,LIMIT,IOC,302.0,6.387,6.446,FILLED,39.2,302.0,1756103595581,1928.8739999999998
FET,SELL,LIMIT,IOC,4288,0.6563000,0.6626410,FILLED,255,4288,1756103595647,2814.2144
BTCUSDC,SELL,LIMIT,IOC,0.001,111703.3,112150.2,FILLED,0.001,0.001,1756103596074,111.7033
1000PEPE,SELL,LIMIT,IOC,63652,0.0104588,0.0105246,FILLED,63652,63652,1756103596087,665.7235376000001
ADA,SELL,LIMIT,IOC,128,0.88470,0.88880,FILLED,128,128,1756103596101,113.2416
ORDI,SELL,LIMIT,IOC,3.4,9.193000,9.282000,FILLED,2.2,3.4,1756103596148,31.256199999999996
JUP,SELL,LIMIT,IOC,76,0.5012000,0.5059000,FILLED,49,76,1756103596148,38.0912
